title,gnis_name,state,locatio
Parfrey Glen Dam,Pine River,WI,Richland Center, Wisconsin
Darby Borough Dam,Darby Creek,PA, 
Main Street Dam,East Branch Sebasticook River,ME, 
Axe Factory Dam,Fishing Creek,PA, 
Nashville Dam,Thornapple River,MI,Nashville, Michigan
Black Mud Waste Pond B Dam,,WA, 
Howard's Lake Dam,,OH, 
Ojai Valley Trail Ford,San Antonio Creek,CA, 
Bettinger Lower Reservoir Dam B,,AK, 
Davidson Ditch Diversion Dam,,AK, 
Bear Rock Run Dam 1,Bear Rock Run,PA, 
Martins Dam,Cocalico Creek,PA, 
Unnamed Dam #1,Houston Run,PA, 
Westinghouse Dam, Trafford Dam,,PA, 
Unnamed Dam,Jordan Creek,PA, 
Eel River Headwaters Restoration 4,,MA, 
Buck & Jones Diversion Dam,Little Applegate River,OR, 
Memory Estates Dam #1,,AK, 
Sutton Dam,,Ontario,Simcoe, Ontario, Canada
Pittsburgh Plate & Glass (PPG) Dam,North Branch Potomac River,MD, 
Welch Dam,Cannon River,MN, 
Columbia Falls Dam,Pleasant River,ME, 
Hillside Farm Dam,Avery Brook,VT, 
Amish Dam #7,Muddy Creek,PA, 
Embrey Dam,Rappahannock River,VA,Fredericksburg, Virginia
Phillipston Reservoir Dam #1,Mill Brook,MA, 
Whites Gulch Upper Dam,,, 
West Winfield Dam,Unadilla River,NY, 
Arase Dam,,,Kyushu, Japan
Altimus Dam,Hendricks Creek,PA, 
Knowles Dam,,WI, 
Acheys Mill Dam,,PA, 
Unnamed (Girl Scout) Dam,,PA, 
Beaver Pond Dam,Mendon Brook,VT, 
Main Street Dam,Scioto River,OH, 
Dip Creek Dam,Dip Creek,ID, 
Lake Hill Dam #1,,OH, 
Sherman Lake Dam,,ME, 
Fish Creek Dam,,WI, 
Vassar Dam,Cass River,MI, 
Iron Stone Mine Dam,Swatara Creek,PA, 
Hall Wines Dam,Dry Creek,CA, 
LaValle Dam,Baraboo River,WI,LaValle, WI
Union Dam,Patapsco River,MD, 
Thornhurst Country Club Dam,Pond Creek,PA, 
